DigitWidth, DigitLength, pointSize, method, R
35, 55, 1.25, NAIVE, 0.9965653
35, 55, 1.25, LINEAR, 0.99537677
35, 55, 1.25, GAUSSIAN, 0.9973327
35, 55, 1.25, CUBIC, 0.991894
35, 55, 1.25, PARABOLIC, 0.9917536
35, 55, 1.25, BLAIS_RIOUX, 0.9982335
35, 55, 1.25, COM, 0.99227846
35, 55, 1.25, MICROCHIP, 0.9914692
35, 55, 2.5, NAIVE, 0.9642369
35, 55, 2.5, LINEAR, 0.9949276
35, 55, 2.5, GAUSSIAN, 0.9978331
35, 55, 2.5, CUBIC, 0.9911316
35, 55, 2.5, PARABOLIC, 0.99273384
35, 55, 2.5, BLAIS_RIOUX, 0.98795867
35, 55, 2.5, COM, 0.9963411
35, 55, 2.5, MICROCHIP, 0.9944314
35, 55, 3.75, NAIVE, 0.9861972
35, 55, 3.75, LINEAR, 0.9983388
35, 55, 3.75, GAUSSIAN, 0.99954283
35, 55, 3.75, CUBIC, 0.98823225
35, 55, 3.75, PARABOLIC, 0.997981
35, 55, 3.75, BLAIS_RIOUX, 0.99613637
35, 55, 3.75, COM, 0.9986078
35, 55, 3.75, MICROCHIP, 0.99940467
35, 70, 1.25, NAIVE, 0.9908069
35, 70, 1.25, LINEAR, 0.9959738
35, 70, 1.25, GAUSSIAN, 0.9972248
35, 70, 1.25, CUBIC, 0.99125934
35, 70, 1.25, PARABOLIC, 0.99216557
35, 70, 1.25, BLAIS_RIOUX, 0.9965267
35, 70, 1.25, COM, 0.9942854
35, 70, 1.25, MICROCHIP, 0.9928905
35, 70, 2.5, NAIVE, 0.9723244
35, 70, 2.5, LINEAR, 0.9963062
35, 70, 2.5, GAUSSIAN, 0.9972353
35, 70, 2.5, CUBIC, 0.9894561
35, 70, 2.5, PARABOLIC, 0.9927471
35, 70, 2.5, BLAIS_RIOUX, 0.99057555
35, 70, 2.5, COM, 0.99765074
35, 70, 2.5, MICROCHIP, 0.9962802
35, 70, 3.75, NAIVE, 0.96887505
35, 70, 3.75, LINEAR, 0.9963163
35, 70, 3.75, GAUSSIAN, 0.99842185
35, 70, 3.75, CUBIC, 0.9846042
35, 70, 3.75, PARABOLIC, 0.9964514
35, 70, 3.75, BLAIS_RIOUX, 0.9905183
35, 70, 3.75, COM, 0.998681
35, 70, 3.75, MICROCHIP, 0.9991043
35, 85, 1.25, NAIVE, 0.9929626
35, 85, 1.25, LINEAR, 0.99579746
35, 85, 1.25, GAUSSIAN, 0.99922603
35, 85, 1.25, CUBIC, 0.9918149
35, 85, 1.25, PARABOLIC, 0.9916947
35, 85, 1.25, BLAIS_RIOUX, 0.997106
35, 85, 1.25, COM, 0.99563986
35, 85, 1.25, MICROCHIP, 0.9928692
35, 85, 2.5, NAIVE, 0.9805018
35, 85, 2.5, LINEAR, 0.9965295
35, 85, 2.5, GAUSSIAN, 0.9956358
35, 85, 2.5, CUBIC, 0.99105936
35, 85, 2.5, PARABOLIC, 0.99396616
35, 85, 2.5, BLAIS_RIOUX, 0.9935864
35, 85, 2.5, COM, 0.99669546
35, 85, 2.5, MICROCHIP, 0.9969098
35, 85, 3.75, NAIVE, 0.98591876
35, 85, 3.75, LINEAR, 0.99807435
35, 85, 3.75, GAUSSIAN, 0.9982637
35, 85, 3.75, CUBIC, 0.9834698
35, 85, 3.75, PARABOLIC, 0.9980877
35, 85, 3.75, BLAIS_RIOUX, 0.99474
35, 85, 3.75, COM, 0.99606943
35, 85, 3.75, MICROCHIP, 0.9977471
35, 100, 1.25, NAIVE, 0.99102485
35, 100, 1.25, LINEAR, 0.99842554
35, 100, 1.25, GAUSSIAN, 0.99961275
35, 100, 1.25, CUBIC, 0.9943627
35, 100, 1.25, PARABOLIC, 0.9962396
35, 100, 1.25, BLAIS_RIOUX, 0.9972413
35, 100, 1.25, COM, 0.9992997
35, 100, 1.25, MICROCHIP, 0.99835765
35, 100, 2.5, NAIVE, 0.99777776
35, 100, 2.5, LINEAR, 0.9997061
35, 100, 2.5, GAUSSIAN, 0.9998897
35, 100, 2.5, CUBIC, 0.99489856
35, 100, 2.5, PARABOLIC, 0.9993609
35, 100, 2.5, BLAIS_RIOUX, 0.99928147
35, 100, 2.5, COM, 0.99912614
35, 100, 2.5, MICROCHIP, 0.9995592
35, 100, 3.75, NAIVE, 0.96698916
35, 100, 3.75, LINEAR, 0.9966276
35, 100, 3.75, GAUSSIAN, 0.9984677
35, 100, 3.75, CUBIC, 0.96689576
35, 100, 3.75, PARABOLIC, 0.99719626
35, 100, 3.75, BLAIS_RIOUX, 0.99037486
35, 100, 3.75, COM, 0.99522465
35, 100, 3.75, MICROCHIP, 0.9972485
55, 55, 1.25, NAIVE, 0.9979453
55, 55, 1.25, LINEAR, 0.9959103
55, 55, 1.25, GAUSSIAN, 0.9967422
55, 55, 1.25, CUBIC, 0.992016
55, 55, 1.25, PARABOLIC, 0.992008
55, 55, 1.25, BLAIS_RIOUX, 0.99873763
55, 55, 1.25, COM, 0.9940683
55, 55, 1.25, MICROCHIP, 0.992291
55, 55, 2.5, NAIVE, 0.9393841
55, 55, 2.5, LINEAR, 0.9933769
55, 55, 2.5, GAUSSIAN, 0.9963446
55, 55, 2.5, CUBIC, 0.98717976
55, 55, 2.5, PARABOLIC, 0.9901023
55, 55, 2.5, BLAIS_RIOUX, 0.9809857
55, 55, 2.5, COM, 0.99411136
55, 55, 2.5, MICROCHIP, 0.99235433
55, 55, 3.75, NAIVE, 0.99403566
55, 55, 3.75, LINEAR, 0.99915487
55, 55, 3.75, GAUSSIAN, 0.99951017
55, 55, 3.75, CUBIC, 0.9926286
55, 55, 3.75, PARABOLIC, 0.99868923
55, 55, 3.75, BLAIS_RIOUX, 0.99721307
55, 55, 3.75, COM, 0.99885297
55, 55, 3.75, MICROCHIP, 0.99944055
55, 70, 1.25, NAIVE, 0.993396
55, 70, 1.25, LINEAR, 0.99140626
55, 70, 1.25, GAUSSIAN, 0.99382275
55, 70, 1.25, CUBIC, 0.9812002
55, 70, 1.25, PARABOLIC, 0.98295206
55, 70, 1.25, BLAIS_RIOUX, 0.9965193
55, 70, 1.25, COM, 0.9909962
55, 70, 1.25, MICROCHIP, 0.98600453
55, 70, 2.5, NAIVE, 0.9589636
55, 70, 2.5, LINEAR, 0.9952944
55, 70, 2.5, GAUSSIAN, 0.99560404
55, 70, 2.5, CUBIC, 0.987973
55, 70, 2.5, PARABOLIC, 0.9916833
55, 70, 2.5, BLAIS_RIOUX, 0.98590624
55, 70, 2.5, COM, 0.9967465
55, 70, 2.5, MICROCHIP, 0.9954413
55, 70, 3.75, NAIVE, 0.9980013
55, 70, 3.75, LINEAR, 0.9994344
55, 70, 3.75, GAUSSIAN, 0.99945074
55, 70, 3.75, CUBIC, 0.99043983
55, 70, 3.75, PARABOLIC, 0.997806
55, 70, 3.75, BLAIS_RIOUX, 0.99875724
55, 70, 3.75, COM, 0.99905825
55, 70, 3.75, MICROCHIP, 0.9996802
55, 85, 1.25, NAIVE, 0.99464965
55, 85, 1.25, LINEAR, 0.9968412
55, 85, 1.25, GAUSSIAN, 0.99906456
55, 85, 1.25, CUBIC, 0.9944424
55, 85, 1.25, PARABOLIC, 0.9941102
55, 85, 1.25, BLAIS_RIOUX, 0.9982656
55, 85, 1.25, COM, 0.99608916
55, 85, 1.25, MICROCHIP, 0.9945094
55, 85, 2.5, NAIVE, 0.9625155
55, 85, 2.5, LINEAR, 0.99627084
55, 85, 2.5, GAUSSIAN, 0.9932217
55, 85, 2.5, CUBIC, 0.990038
55, 85, 2.5, PARABOLIC, 0.99278283
55, 85, 2.5, BLAIS_RIOUX, 0.98776084
55, 85, 2.5, COM, 0.9955139
55, 85, 2.5, MICROCHIP, 0.9956778
55, 85, 3.75, NAIVE, 0.9817079
55, 85, 3.75, LINEAR, 0.99750614
55, 85, 3.75, GAUSSIAN, 0.9988585
55, 85, 3.75, CUBIC, 0.9838204
55, 85, 3.75, PARABOLIC, 0.9960463
55, 85, 3.75, BLAIS_RIOUX, 0.99357814
55, 85, 3.75, COM, 0.99743986
55, 85, 3.75, MICROCHIP, 0.99852806
55, 100, 1.25, NAIVE, 0.99680436
55, 100, 1.25, LINEAR, 0.99874157
55, 100, 1.25, GAUSSIAN, 0.9998343
55, 100, 1.25, CUBIC, 0.99304074
55, 100, 1.25, PARABOLIC, 0.99598587
55, 100, 1.25, BLAIS_RIOUX, 0.9988643
55, 100, 1.25, COM, 0.99938977
55, 100, 1.25, MICROCHIP, 0.998784
55, 100, 2.5, NAIVE, 0.99327964
55, 100, 2.5, LINEAR, 0.9987647
55, 100, 2.5, GAUSSIAN, 0.9993783
55, 100, 2.5, CUBIC, 0.98347425
55, 100, 2.5, PARABOLIC, 0.9952112
55, 100, 2.5, BLAIS_RIOUX, 0.997668
55, 100, 2.5, COM, 0.99779016
55, 100, 2.5, MICROCHIP, 0.9990512
55, 100, 3.75, NAIVE, 0.9366854
55, 100, 3.75, LINEAR, 0.9945863
55, 100, 3.75, GAUSSIAN, 0.99359936
55, 100, 3.75, CUBIC, 0.9768088
55, 100, 3.75, PARABOLIC, 0.9976973
55, 100, 3.75, BLAIS_RIOUX, 0.98020464
55, 100, 3.75, COM, 0.9933984
55, 100, 3.75, MICROCHIP, 0.9954587
75, 55, 1.25, NAIVE, 0.996152
75, 55, 1.25, LINEAR, 0.99668777
75, 55, 1.25, GAUSSIAN, 0.99718297
75, 55, 1.25, CUBIC, 0.99272233
75, 55, 1.25, PARABOLIC, 0.99304104
75, 55, 1.25, BLAIS_RIOUX, 0.9975399
75, 55, 1.25, COM, 0.99596804
75, 55, 1.25, MICROCHIP, 0.99399084
75, 55, 2.5, NAIVE, 0.97177386
75, 55, 2.5, LINEAR, 0.9965225
75, 55, 2.5, GAUSSIAN, 0.9974792
75, 55, 2.5, CUBIC, 0.991636
75, 55, 2.5, PARABOLIC, 0.99352795
75, 55, 2.5, BLAIS_RIOUX, 0.9913731
75, 55, 2.5, COM, 0.9975232
75, 55, 2.5, MICROCHIP, 0.9961115
75, 55, 3.75, NAIVE, 0.9778202
75, 55, 3.75, LINEAR, 0.9975499
75, 55, 3.75, GAUSSIAN, 0.9976529
75, 55, 3.75, CUBIC, 0.98449177
75, 55, 3.75, PARABOLIC, 0.9970758
75, 55, 3.75, BLAIS_RIOUX, 0.992508
75, 55, 3.75, COM, 0.9977518
75, 55, 3.75, MICROCHIP, 0.998791
75, 70, 1.25, NAIVE, 0.9968226
75, 70, 1.25, LINEAR, 0.9956185
75, 70, 1.25, GAUSSIAN, 0.9982122
75, 70, 1.25, CUBIC, 0.9898936
75, 70, 1.25, PARABOLIC, 0.99002326
75, 70, 1.25, BLAIS_RIOUX, 0.9984422
75, 70, 1.25, COM, 0.99328846
75, 70, 1.25, MICROCHIP, 0.9909431
75, 70, 2.5, NAIVE, 0.98671925
75, 70, 2.5, LINEAR, 0.99765533
75, 70, 2.5, GAUSSIAN, 0.9979016
75, 70, 2.5, CUBIC, 0.9870571
75, 70, 2.5, PARABOLIC, 0.99287635
75, 70, 2.5, BLAIS_RIOUX, 0.9953857
75, 70, 2.5, COM, 0.9978185
75, 70, 2.5, MICROCHIP, 0.9976202
75, 70, 3.75, NAIVE, 0.99390936
75, 70, 3.75, LINEAR, 0.9993502
75, 70, 3.75, GAUSSIAN, 0.9996938
75, 70, 3.75, CUBIC, 0.995855
75, 70, 3.75, PARABOLIC, 0.9995199
75, 70, 3.75, BLAIS_RIOUX, 0.99782985
75, 70, 3.75, COM, 0.9993088
75, 70, 3.75, MICROCHIP, 0.9995719
75, 85, 1.25, NAIVE, 0.99773973
75, 85, 1.25, LINEAR, 0.9969635
75, 85, 1.25, GAUSSIAN, 0.99895084
75, 85, 1.25, CUBIC, 0.9923096
75, 85, 1.25, PARABOLIC, 0.9925107
75, 85, 1.25, BLAIS_RIOUX, 0.9989779
75, 85, 1.25, COM, 0.9962846
75, 85, 1.25, MICROCHIP, 0.9940072
75, 85, 2.5, NAIVE, 0.97206956
75, 85, 2.5, LINEAR, 0.9970654
75, 85, 2.5, GAUSSIAN, 0.99592865
75, 85, 2.5, CUBIC, 0.9890433
75, 85, 2.5, PARABOLIC, 0.9932077
75, 85, 2.5, BLAIS_RIOUX, 0.99221414
75, 85, 2.5, COM, 0.997306
75, 85, 2.5, MICROCHIP, 0.9970912
75, 85, 3.75, NAIVE, 0.9774834
75, 85, 3.75, LINEAR, 0.9975822
75, 85, 3.75, GAUSSIAN, 0.9987411
75, 85, 3.75, CUBIC, 0.97977346
75, 85, 3.75, PARABOLIC, 0.9972964
75, 85, 3.75, BLAIS_RIOUX, 0.9937906
75, 85, 3.75, COM, 0.99798346
75, 85, 3.75, MICROCHIP, 0.99900997
75, 100, 1.25, NAIVE, 0.9967318
75, 100, 1.25, LINEAR, 0.9991079
75, 100, 1.25, GAUSSIAN, 0.9993578
75, 100, 1.25, CUBIC, 0.99201435
75, 100, 1.25, PARABOLIC, 0.9961391
75, 100, 1.25, BLAIS_RIOUX, 0.99849224
75, 100, 1.25, COM, 0.99939436
75, 100, 1.25, MICROCHIP, 0.9993295
75, 100, 2.5, NAIVE, 0.98283654
75, 100, 2.5, LINEAR, 0.99725235
75, 100, 2.5, GAUSSIAN, 0.99795747
75, 100, 2.5, CUBIC, 0.98035777
75, 100, 2.5, PARABOLIC, 0.99083287
75, 100, 2.5, BLAIS_RIOUX, 0.9946665
75, 100, 2.5, COM, 0.9980202
75, 100, 2.5, MICROCHIP, 0.9981123
75, 100, 3.75, NAIVE, 0.9948548
75, 100, 3.75, LINEAR, 0.9990063
75, 100, 3.75, GAUSSIAN, 0.99919975
75, 100, 3.75, CUBIC, 0.98960334
75, 100, 3.75, PARABOLIC, 0.9992483
75, 100, 3.75, BLAIS_RIOUX, 0.99737924
75, 100, 3.75, COM, 0.9976415
75, 100, 3.75, MICROCHIP, 0.998417
95, 55, 1.25, NAIVE, 0.9980114
95, 55, 1.25, LINEAR, 0.9970103
95, 55, 1.25, GAUSSIAN, 0.99793446
95, 55, 1.25, CUBIC, 0.995503
95, 55, 1.25, PARABOLIC, 0.9949163
95, 55, 1.25, BLAIS_RIOUX, 0.9981608
95, 55, 1.25, COM, 0.9944543
95, 55, 1.25, MICROCHIP, 0.99483335
95, 55, 2.5, NAIVE, 0.96127886
95, 55, 2.5, LINEAR, 0.99543446
95, 55, 2.5, GAUSSIAN, 0.9975789
95, 55, 2.5, CUBIC, 0.99089575
95, 55, 2.5, PARABOLIC, 0.99248725
95, 55, 2.5, BLAIS_RIOUX, 0.9887383
95, 55, 2.5, COM, 0.9951575
95, 55, 2.5, MICROCHIP, 0.99393064
95, 55, 3.75, NAIVE, 0.99313194
95, 55, 3.75, LINEAR, 0.999208
95, 55, 3.75, GAUSSIAN, 0.99959415
95, 55, 3.75, CUBIC, 0.9945339
95, 55, 3.75, PARABOLIC, 0.99894524
95, 55, 3.75, BLAIS_RIOUX, 0.99778813
95, 55, 3.75, COM, 0.9989811
95, 55, 3.75, MICROCHIP, 0.9996845
95, 70, 1.25, NAIVE, 0.99750376
95, 70, 1.25, LINEAR, 0.9978414
95, 70, 1.25, GAUSSIAN, 0.999065
95, 70, 1.25, CUBIC, 0.99686444
95, 70, 1.25, PARABOLIC, 0.99601316
95, 70, 1.25, BLAIS_RIOUX, 0.99897784
95, 70, 1.25, COM, 0.9960228
95, 70, 1.25, MICROCHIP, 0.9956871
95, 70, 2.5, NAIVE, 0.9692052
95, 70, 2.5, LINEAR, 0.99794835
95, 70, 2.5, GAUSSIAN, 0.9975995
95, 70, 2.5, CUBIC, 0.992004
95, 70, 2.5, PARABOLIC, 0.9946191
95, 70, 2.5, BLAIS_RIOUX, 0.99234116
95, 70, 2.5, COM, 0.99770963
95, 70, 2.5, MICROCHIP, 0.99699116
95, 70, 3.75, NAIVE, 0.9962016
95, 70, 3.75, LINEAR, 0.99790984
95, 70, 3.75, GAUSSIAN, 0.99893105
95, 70, 3.75, CUBIC, 0.98611164
95, 70, 3.75, PARABOLIC, 0.99428684
95, 70, 3.75, BLAIS_RIOUX, 0.9985712
95, 70, 3.75, COM, 0.99842143
95, 70, 3.75, MICROCHIP, 0.99944717
95, 85, 1.25, NAIVE, 0.9958845
95, 85, 1.25, LINEAR, 0.9977332
95, 85, 1.25, GAUSSIAN, 0.9993316
95, 85, 1.25, CUBIC, 0.9958925
95, 85, 1.25, PARABOLIC, 0.99543524
95, 85, 1.25, BLAIS_RIOUX, 0.99871635
95, 85, 1.25, COM, 0.9964652
95, 85, 1.25, MICROCHIP, 0.9955266
95, 85, 2.5, NAIVE, 0.9690078
95, 85, 2.5, LINEAR, 0.99797255
95, 85, 2.5, GAUSSIAN, 0.99550414
95, 85, 2.5, CUBIC, 0.9951831
95, 85, 2.5, PARABOLIC, 0.9972975
95, 85, 2.5, BLAIS_RIOUX, 0.9908276
95, 85, 2.5, COM, 0.9976901
95, 85, 2.5, MICROCHIP, 0.9985541
95, 85, 3.75, NAIVE, 0.9949217
95, 85, 3.75, LINEAR, 0.99871844
95, 85, 3.75, GAUSSIAN, 0.99972594
95, 85, 3.75, CUBIC, 0.988774
95, 85, 3.75, PARABOLIC, 0.9955655
95, 85, 3.75, BLAIS_RIOUX, 0.99852324
95, 85, 3.75, COM, 0.9963745
95, 85, 3.75, MICROCHIP, 0.9990963
95, 100, 1.25, NAIVE, 0.9947254
95, 100, 1.25, LINEAR, 0.99925387
95, 100, 1.25, GAUSSIAN, 0.99947184
95, 100, 1.25, CUBIC, 0.99545926
95, 100, 1.25, PARABOLIC, 0.99703574
95, 100, 1.25, BLAIS_RIOUX, 0.9984452
95, 100, 1.25, COM, 0.9993888
95, 100, 1.25, MICROCHIP, 0.99896646
95, 100, 2.5, NAIVE, 0.99831885
95, 100, 2.5, LINEAR, 0.9998555
95, 100, 2.5, GAUSSIAN, 0.9999643
95, 100, 2.5, CUBIC, 0.9956835
95, 100, 2.5, PARABOLIC, 0.9998163
95, 100, 2.5, BLAIS_RIOUX, 0.99937254
95, 100, 2.5, COM, 0.9985936
95, 100, 2.5, MICROCHIP, 0.9989626
95, 100, 3.75, NAIVE, 0.97125334
95, 100, 3.75, LINEAR, 0.9961199
95, 100, 3.75, GAUSSIAN, 0.99502295
95, 100, 3.75, CUBIC, 0.97319925
95, 100, 3.75, PARABOLIC, 0.99478805
95, 100, 3.75, BLAIS_RIOUX, 0.98992044
95, 100, 3.75, COM, 0.9940747
95, 100, 3.75, MICROCHIP, 0.9977428
100, 0, 1.25, NAIVE, 0.9980846
100, 0, 1.25, LINEAR, 0.9947728
100, 0, 1.25, GAUSSIAN, 0.9981829
100, 0, 1.25, CUBIC, 0.99052626
100, 0, 1.25, PARABOLIC, 0.990596
100, 0, 1.25, BLAIS_RIOUX, 0.9973521
100, 0, 1.25, COM, 0.99079347
100, 0, 1.25, MICROCHIP, 0.9905715
100, 0, 2.5, NAIVE, 0.9464766
100, 0, 2.5, LINEAR, 0.9947775
100, 0, 2.5, GAUSSIAN, 0.9965307
100, 0, 2.5, CUBIC, 0.9891705
100, 0, 2.5, PARABOLIC, 0.99133456
100, 0, 2.5, BLAIS_RIOUX, 0.9838022
100, 0, 2.5, COM, 0.9934702
100, 0, 2.5, MICROCHIP, 0.9925754
100, 0, 3.75, NAIVE, 0.9982514
100, 0, 3.75, LINEAR, 0.99926496
100, 0, 3.75, GAUSSIAN, 0.9993103
100, 0, 3.75, CUBIC, 0.9952551
100, 0, 3.75, PARABOLIC, 0.99752086
100, 0, 3.75, BLAIS_RIOUX, 0.9990877
100, 0, 3.75, COM, 0.9996802
100, 0, 3.75, MICROCHIP, 0.9992591
